BIN,PCN,GROUP,PBM Name(HORIZON / CAREMARK / EXPRESS SCRIPTS / HUMANA / OPTUM / DREXI / EMPIRX / LIVINTI(SOUTHERN SCRIPTS) / COUPON) ,Payer Type(Medicare / Medicaid / Commercial / Coupon)
3585,91200,ARX01860,Medimpact,Commercial
3858,A4,2CUA,Express Scripts,Commercial
3858,A4,2DSA,Express Scripts,Commercial
3858,A4,2GDA,Express Scripts,Commercial
3858,A4,2GKA,Express Scripts,Commercial
3858,A4,AMAZON1,Express Scripts,Commercial
3858,A4,APNA,Express Scripts,Commercial
3858,A4,BOBSDIS,Express Scripts,Commercial
3858,A4,ECPRX4U,Express Scripts,Commercial
3858,A4,FDNA,Express Scripts,Commercial
3858,A4,GH3A,Express Scripts,Commercial
3858,A4,h5la,Express Scripts,Commercial
3858,A4,H5LA,Express Scripts,Commercial
3858,A4,HIGA,Express Scripts,Commercial
3858,A4,IMPERBP,Express Scripts,Commercial
3858,A4,IWLOC11,Express Scripts,Commercial
3858,A4,JNAA,Express Scripts,Commercial
3858,A4,JUTA,Express Scripts,Commercial
3858,A4,jxs000016306128,Express Scripts,Commercial
3858,A4,K8CA,Express Scripts,Commercial
3858,A4,L4SA,Express Scripts,Commercial
3858,A4,MATFIRM,Express Scripts,Commercial
3858,A4,MDIAOCN,Express Scripts,Commercial
3858,A4,morgnrx,Express Scripts,Commercial
3858,A4,MORGNRX,Express Scripts,Commercial
3858,A4,MORSTAN,Express Scripts,Commercial
3858,A4, NJRA,Express Scripts,Commercial
3858,A4,NYYA,Express Scripts,Commercial
3858,A4,nyye,Express Scripts,Commercial
3858,A4,NZ4A,Express Scripts,Commercial
3858,A4,PANA,Express Scripts,Commercial
3858,A4,PANN,Express Scripts,Commercial
3858,A4,RENTOKI,Express Scripts,Commercial
3858,A4,TIFFANY,Express Scripts,Commercial
3858,A4,UAPLO24,Express Scripts,Commercial
3858,A4,V2UA,Express Scripts,Commercial
3858,A4,WFLEET1,Express Scripts,Commercial
3858,A4,WSPUSA1,Express Scripts,Commercial
3858,A4,Z9VA,Express Scripts,Commercial
3858,A4,,Express Scripts,Commercial
3858,MA,2GDA,Express Scripts,Medicaid
3858,MD,AN9A,Express Scripts,Medicare
3858,MD,GH3A,Express Scripts,Medicare
3858,WC,GH3A,Express Scripts,Commercial
3858,WC,HIGA,Express Scripts,Commercial
4261,CAL,NJPLIGA,Optum,Commercial
4303,TELE,19,Medicare Part B,Commercial
4303,TELE,30002,Optum,Commercial
4303,TELE,NJ022041785601,Medicare Part B,Commercial
4303,TELE,NJ022080590110,Medicare Part B,Commercial
4303,TELE,NJ022081694101,Medicare Part B,Commercial
4303,TELE,nj022081694101,Medicare Part B,Commercial
4303,TELE,,Medicare Part B,Commercial
4336,77993322,*,Caremark,Medicare
4336,77993322,,Caremark,Medicare
4336,77993333,RX33BA,Caremark,Commercial
4336,ADV,RX0139,Caremark,Commercial
4336,ADV,RX0218,Caremark,Commercial
4336,ADV,RX0403,Caremark,Commercial
4336,ADV,RX0467,Caremark,Commercial
4336,ADV,RX0480,Caremark,Commercial
4336,ADV,RX0583,Caremark,Commercial
4336,ADV,RX0678,Caremark,Commercial
4336,ADV,RX1412,Caremark,Commercial
4336,ADV,RX1417,Caremark,Commercial
4336,ADV,RX1555,Caremark,Commercial
4336,ADV,RX1745,Caremark,Commercial
4336,ADV,RX20AG,Caremark,Commercial
4336,ADV,RX2129,Caremark,Commercial
4336,ADV,RX2169,Caremark,Commercial
4336,ADV,RX21ED,Caremark,Commercial
4336,ADV,RX22MA,Caremark,Commercial
4336,ADV,RX2355,Caremark,Commercial
4336,ADV,RX23EF,Caremark,Commercial
4336,ADV,RX23MD,Caremark,Commercial
4336,ADV,RX2458,Caremark,Commercial
4336,ADV,RX24CN,Caremark,Commercial
4336,ADV,RX24GA,Caremark,Commercial
4336,ADV,rx24gf,Caremark,Commercial
4336,ADV,RX25AQ,Caremark,Commercial
4336,ADV,RX2738,Caremark,Commercial
4336,ADV,RX3140,Caremark,Commercial
4336,ADV,rx3259,Caremark,Commercial
4336,ADV,RX3259,Caremark,Commercial
4336,ADV,RX3261,Caremark,Commercial
4336,ADV,RX3602,Caremark,Commercial
4336,ADV,RX3826,Caremark,Commercial
4336,ADV,RX4116,Caremark,Commercial
4336,ADV,RX4145,Caremark,Commercial
4336,ADV,RX6027,Caremark,Commercial
4336,ADV,RX6096,Caremark,Commercial
4336,ADV,RX6896,Caremark,Commercial
4336,ADV,RX7114,Caremark,Commercial
4336,ADV,RX7117,Caremark,Commercial
4336,ADV,RX7180,Caremark,Commercial
4336,ADV,RX7511,Caremark,Commercial
4336,ADV,RX8556,Caremark,Commercial
4336,ADV,RXCVSD,Caremark,Commercial
4336,ADV,,Caremark,Commercial
4336,MCAIDADV,RX8895,Caremark,Medicaid
4336,MEDDADV,RX0139,Caremark,Medicare
4336,MEDDADV,RX0218,Caremark,Medicare
4336,MEDDADV,rx0218,Caremark,Medicare
4336,MEDDADV,RX0426,Caremark,Medicare
4336,MEDDADV,RX0467,Caremark,Medicare
4336,MEDDADV,RX0480,Caremark,Medicare
4336,MEDDADV,RX0678,Caremark,Medicare
4336,MEDDADV,RX1357,Caremark,Medicare
4336,MEDDADV,RX1412,Caremark,Medicare
4336,MEDDADV,RX1417,Caremark,Medicare
4336,MEDDADV,RX1555,Caremark,Medicare
4336,MEDDADV,RX1745,Caremark,Medicare
4336,MEDDADV,RX1970,Caremark,Medicare
4336,MEDDADV,RX20AG,Caremark,Medicare
4336,MEDDADV,RX20CB,Caremark,Medicare
4336,MEDDADV,RX21ED,Caremark,Medicare
4336,MEDDADV,RX21HE,Caremark,Medicare
4336,MEDDADV,RX2222,Caremark,Medicare
4336,MEDDADV,RX22MA,Caremark,Medicare
4336,MEDDADV,RX2355,Caremark,Medicare
4336,MEDDADV,RX23BU,Caremark,Medicare
4336,MEDDADV,RX23EF,Caremark,Medicare
4336,MEDDADV,RX23MD,Caremark,Medicare
4336,MEDDADV,RX2458,Caremark,Medicare
4336,MEDDADV,RX24BE,Caremark,Medicare
4336,MEDDADV,RX24GA,Caremark,Medicare
4336,MEDDADV,RX2738,Caremark,Medicare
4336,MEDDADV,RX3140,Caremark,Medicare
4336,MEDDADV,RX3259,Caremark,Medicare
4336,MEDDADV,RX3512,Caremark,Medicare
4336,MEDDADV,RX3602,Caremark,Medicare
4336,MEDDADV,RX3629,Caremark,Medicare
4336,MEDDADV,RX3826,Caremark,Medicare
4336,MEDDADV,RX4116,Caremark,Medicare
4336,MEDDADV,RX4136,Caremark,Medicare
4336,MEDDADV,RX4145,Caremark,Medicare
4336,MEDDADV,RX6027,Caremark,Medicare
4336,MEDDADV,RX6530,Caremark,Medicare
4336,MEDDADV,RX6896,Caremark,Medicare
4336,MEDDADV,RX7114,Caremark,Medicare
4336,MEDDADV,RX7117,Caremark,Medicare
4336,MEDDADV,rx7180,Caremark,Medicare
4336,MEDDADV,RX7380,Caremark,Medicare
4336,MEDDADV,RX7511,Caremark,Medicare
4336,MEDDADV,RX8556,Caremark,Medicare
4336,MEDDADV,rx8556,Caremark,Medicare
4336,MEDDADV,RXCVSD,Caremark,Medicare
4336,MEDDADV,,Caremark,Medicare
4336,MEDDPRIME,RX20CY,Caremark,Medicare
4336,WP,RX1417,Caremark,Commercial
4336,WP,RX7114,Caremark,Commercial
4336,HEL,WLS,Caremark,Commercial
4682,CN,ec12701041,Coupon,Coupon
4682,CN,EC40401040,Coupon,Coupon
4682,CN,EC48017020,Coupon,Coupon
4682,CN,EC57010090,Coupon,Coupon
4682,CN,EC57014091,Coupon,Coupon
4682,CN,EC57047006,Coupon,Coupon
4682,CN,EC86001028,Coupon,Coupon
4682,CN,EC86001036,Coupon,Coupon
4682,CN,ec94012035,Coupon,Coupon
4682,CN,ECVASCEPA,Coupon,Coupon
4682,CN,ev57006508,Coupon,Coupon
4682,CN,,Coupon,Coupon
5947,CLAIMCR,2547TRN,Optum,Commercial
5947,CLAIMCR,4138vbn,Optum,Commercial
5947,CLAIMCR,9677SMJ,Optum,Commercial
5947,CLAIMCR,PERKS24,Optum,Commercial
6053,MSC,4051,Coupon,Coupon
6053,MSC,8602,Coupon,Coupon
6053,MSC,874,Coupon,Coupon
6558,HEL,YURA,Caremark,Commercial
8878,WDRX,RXPB3,Express Scripts,Coupon
9893,DCAE1,RXPB3,Express Scripts,Coupon
11552,BCTX,24,Blue Cross Blue Shield,Commercial
11552,BCTX,1002,Blue Cross Blue Shield,Commercial
11552,ILDR,0,BCBSIL,Commercial
11552,ILDR,200,BCBSIL,Commercial
11552,ILDR,8888,BCBSIL,Commercial
11552,ILDR,,BCBSIL,Commercial
11552,MAPDTXG,ENRG,Caremark,Medicare
12114,COBPCS,104,Caremark,Medicare
